	FD21772346	FD21772351	FD21772506	FD21772802	FD21772908	FD21773044	FD21773140	FD21773336	FD21773537	FD21773545	FD21773644	FD21773746	FD21773934	FD21774007	FD21774233	FD21774611	FD21774623	FD21774695	FD21771986	FD21772292	FD21772392	FD21772806	FD21772808	FD21772863	FD21772902	FD21773104	FD21773752	FD21773841	FD21773858	FD21774370	FD21774498	FD21774545	FD21774760	FD21773450	FD21773744	FD21774168	FD21774818
GLUCONEO-PWY: gluconeogenesis I	0	1071.543598	1293.244377	429.0238331	0	0	1385.259294	2955.028418	173.6894071	193.4061004	3511.857789	0	3774.591452	0	0	0	0	0	0	286.2955151	247.0294562	33.36511833	8763.475466	0	198.6270372	0	3886.4536	6090.200028	0	921.1402197	0	0	0	4082.39349	0	1662.346968	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0	792.879053	997.5683653	1190.497325	0	0	1729.210082	3261.047394	261.5359776	56.41677409	639.9969289	0	1707.425072	0	0	0	0	0	0	158.4639603	0	46.89153314	4426.315177	0	437.5852496	0	6890.03657	1706.82021	0	1017.270166	0	0	0	1175.309605	27.34435041	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0	959.9127763	1097.190339	1317.447244	0	0	1609.84467	2816.872185	505.7376901	55.86877461	662.8055393	0	2265.935818	0	0	0	0	0	0	196.0287843	0	46.06768477	5702.397116	0	453.3421046	0	6468.770335	1717.328303	0	1172.098837	0	0	0	1182.013449	0	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	0	1284.98926	578.7435696	869.1354882	45.79185407	592.2433252	966.5347998	3669.524461	3186.877025	155.9417776	1511.387844	0	3141.759628	0	0	0	151.2304014	0	0	191.763549	0	0	2372.168238	102.093329	70.41803072	0	3126.930138	7717.978565	0	1000.058925	0	13.08020905	0	792.1056569	64.68888464	770.3406691	0
PWY-5100: pyruvate fermentation to acetate and lactate II	0	1913.16348	801.2481062	4516.469657	0	0	452.6926424	2635.789677	2733.381215	35.86402467	2079.277837	0	3400.259695	0	0	0	129.3220586	0	0	810.9913642	73.24513393	31.87064778	1800.85251	0	70.1271715	0	4135.004223	4013.588613	0	549.3240777	0	0	0	503.6958739	16.53468417	1323.17156	0
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	0	2313.818107	801.2481062	4516.469657	0	0	452.6926424	2635.789677	2733.381215	35.86402467	3129.311589	0	3400.259695	0	0	0	129.3220586	0	0	1109.777615	0	31.87064778	1800.85251	0	70.1271715	0	4135.004223	4750.267166	0	335.250689	0	0	0	503.6958739	16.53468417	1331.026378	0
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	0	177.7246818	259.3411285	929.5893783	0	940.5022916	1486.453033	3495.907394	10290.8066	130.0402444	905.0155409	0	343.2414408	0	0	0	290.5642841	0	0	151.8542432	137.7963709	0	4419.600115	119.9871694	501.0029472	0	4071.33493	1280.503252	0	1281.845352	0	124.7148363	0	2544.023168	0	1176.414328	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0	841.204159	255.2430845	3309.636768	50.91453447	256.7046667	267.2602378	5874.895198	10721.44313	0	1615.744931	0	773.2708443	0	0	0	37.98415997	0	0	0	219.2743276	0	2699.261163	0	619.2039658	188.5337541	3972.297726	1777.857959	0	3386.332507	0	0	0	1678.339113	94.39384388	1652.090816	0
PWY-5941: glycogen degradation II	0	0	484.0524089	8719.515721	0	1461.006389	613.7533838	691.8061668	15324.97127	0	0	0	682.5434962	0	0	0	0	0	0	0	138.6585518	0	1901.365619	0	99.37494591	0	3180.039346	0	0	1887.270756	0	0	0	943.229436	35.01235743	422.786764	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0	983.3368989	1418.238891	5154.686949	0	0	1129.840105	3021.89212	4507.465392	57.72370156	663.84717	0	4067.067399	0	0	0	0	0	0	272.3514192	281.692433	76.64938926	8269.872971	0	460.6152767	0	7563.540642	1732.752996	0	1270.607785	0	69.65612209	0	6700.690676	0	1019.996162	0
PWY-1042: glycolysis IV	0	2014.844509	1969.706612	10040.36737	30.60254946	1758.111684	1863.179063	5291.568811	12264.0253	126.5209345	1947.17591	277.8209597	8531.502393	0	0	0	0	0	258.6533299	821.9085279	828.8090475	284.956551	14259.26279	0	636.4983586	301.9885103	7930.265659	1338.545621	0	1487.781576	0	701.270204	43.52464162	7832.594698	107.8896014	1019.275244	0
UNINTEGRATED|g__Porphyromonas.s__Porphyromonas_endodontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292585.8166	0	0	0	0	0	0	0	0	0	0
PWY-7238: sucrose biosynthesis II	0	186.1405723	440.4148921	20402.24679	0	3723.121119	603.2116456	669.3320382	24236.01018	127.1142191	1287.733793	0	511.0926323	0	0	0	0	0	0	0	109.7286171	0	3068.881527	0	111.9286137	0	4189.095053	743.0670633	0	1809.604295	0	0	0	1998.770105	29.00456221	1012.182683	0
