	FD21772346	FD21772351	FD21772506	FD21772802	FD21772908	FD21773044	FD21773140	FD21773336	FD21773537	FD21773545	FD21773644	FD21773746	FD21773934	FD21774007	FD21774233	FD21774611	FD21774623	FD21774695	FD21771986	FD21772292	FD21772392	FD21772806	FD21772808	FD21772863	FD21772902	FD21773104	FD21773752	FD21773841	FD21773858	FD21774370	FD21774498	FD21774545	FD21774760	FD21773450	FD21773744	FD21774168	FD21774818
GALACTARDEG-PWY: D-galactarate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.8309269	0	0	0	0	1533.216346	0	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.8309269	0	0	0	0	1533.216346	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing	0	47.64034899	0	0	0	0	0	61.31278216	16.81288498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.79212529	0	0	0	18.23094011	1116.924873	0	0	0	0	0	0	0
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0	0	0	0	0	0	22.27363923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.72979503	0	68.99059403	0	0	793.6998594	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	0	0	0	128.7778907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.539324	0	0	0	0	1412.294256	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.58232877	0	0	0	0	751.4659	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0	0	0	0	0	0	54.98231511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.97756986	0	0	0	0	1240.43456	0	0	0	0	0	0	0
PWY-7242: D-fructuronate degradation	0	116.3403666	0	0	0	0	25.50742431	0	0	0	0	0	158.5041666	0	0	0	0	0	0	0	0	0	0	0	16.6617186	0	114.5995312	286.6415803	0	495.7800263	0	0	0	0	0	0	0
"FAO-PWY: fatty acid &beta;-oxidation I (generic)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.72940667	0	0	0	0	0	0	0	63.51163659	0	0	0	0	1312.05054	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis	0	275.5207903	0	0	0	0	0	87.22036344	0	0	37.62701946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496.801058	0	581.2908557	0	0	0	0	0	0	0
P122-PWY: heterolactic fermentation	0	0	0	284.3115261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210.7665436	0	0	0	0	0	0	0
PWY66-389: phytol degradation	0	0	41.72690211	10.60999096	0	109.8065956	0	186.366879	0	0	64.74717941	0	126.8416697	0	0	0	0	0	0	0	0	0	220.4918353	0	16.77080596	0	0	0	0	148.6206098	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	72.49354505	0	0	0	427.5677795	31.73488802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.23838746	0	0	0	0	93.0821346	0	0	0	0	0	0	0
PWY66-409: superpathway of purine nucleotide salvage	0	0	0	952.0289605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584.3052293	0	0	0	0	0	0	0
PWY-6823: molybdopterin biosynthesis	0	120.8070842	0	0	0	0	0	162.5309915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.1883332	343.1500803	0	421.8498807	0	0	0	0	0	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0	0	0	82.66500736	0	0	46.87582674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.11854943	0	124.0705146	0	0	844.8283517	0	0	0	0	0	0	0
SO4ASSIM-PWY: assimilatory sulfate reduction I	0	0	0	0	0	0	34.2565266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.5999176	0	0	0	0	1502.742576	0	0	0	0	0	0	0
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.10492234	0	0	0	0	1752.97082	0	0	0	0	0	0	0
GLYOXYLATE-BYPASS: glyoxylate cycle	0	0	0	0	0	0	114.3145767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.04759363	0	0	124.8866925	0	0	0	0	1346.96272	0	0	0	0	0	0	0
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.6956753	0	0	0	0	0	0	0	80.43181664	0	0	0	0	1405.110486	0	0	0	0	0	0	0
PWY-5723: Rubisco shunt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.1964107	0	0	0	0	1272.901227	0	0	0	0	0	0	0
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0	0	0	71.08029495	0	0	248.869153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.38769068	0	88.31608749	0	0	832.7349413	0	0	0	0	0	0	0
TCA: TCA cycle I (prokaryotic)	0	0	0	0	0	0	154.433727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.4311286	0	0	0	0	846.6975951	0	0	0	0	0	0	0
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Porphyromonas.s__Porphyromonas_endodontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2186.587842	0	0	0	0	0	0	0	0	0	0
PWY-5675: nitrate reduction V (assimilatory)	0	0	0	57.88374525	0	0	52.64532395	0	57.55051056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.6087808	0	0	12.16530992	0	1348.131294	0	0	0	0	19.0792845	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321.4867926	854.7575332	0	340.363453	0	0	0	0	0	0	0
PWY-7392: taxadiene biosynthesis (engineered)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558.4201941	0	0	0	0	0	0	0	0	0	0
PWY-6606: guanosine nucleotides degradation II	0	0	0	10.46635717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.5859106	0	0	0	0	1349.874518	0	0	0	0	0	0	0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	0	0	0	0	85.63343386	73.24327511	0	0	0	0	21.58650926	0	0	0	0	0	0	0	0	0	286.4906545	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	0	0	0	0	0	41.10702903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.62754786	0	484.4586394	90.87821203	0	595.2207377	0	0	0	0	0	0	0
PWY-8073: lipid IVA biosynthesis (P. putida)	0	0	0	0	0	0	41.10702903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.62754786	0	484.4586394	90.87821203	0	595.2207377	0	0	0	0	0	0	0
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0	0	0	88.8681338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.6792097	0	0	0	0	1869.566401	0	0	0	0	0	0	0
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.21989291	0	0	0	0	1462.650006	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0	283.2306078	0	0	0	0	0	0	0	0	0	0	43.04854811	0	0	0	0	0	0	0	0	0	0	0	63.08887356	0	0	0	0	943.1268267	0	0	0	0	0	0	0
PWY-7238: sucrose biosynthesis II|g__Streptococcus.s__Streptococcus_viridans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671.1544993	0	0	0	0	0	0	220.9558697	0	0	0
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	0	0	0	245.0510755	0	0	141.7464867	18.38591593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.9955392	0	0	367.5303302	0	0	0	0	0	0	0
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0	165.2863154	0	255.7690614	0	0	31.66137379	0	0	0	43.99318314	0	0	0	0	0	0	0	0	0	0	0	0	0	115.8393662	0	155.3974137	314.892159	0	925.9573025	0	0	0	0	0	18.2631747	0
PWY-7238: sucrose biosynthesis II|g__Streptococcus.s__Streptococcus_milleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638.7929132	0	0	0	0	0	0	476.7062415	0	0	0
PWY-7185: UTP and CTP dephosphorylation I	0	0	0	0	0	0	503.0843649	16.20285122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497.3516423	0	0	0	0	0	0	0
PWY-6305: superpathway of putrescine biosynthesis	0	0	0	0	0	0	47.55875664	0	17.652504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.57777374	0	149.8192487	0	0	1683.324125	0	0	0	0	0	0	0
PWY-622: starch biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689.8637079	0	0	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.96099211	0	0	0	0	1357.485166	0	0	0	0	0	0	0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0	165.2863154	0	261.3512884	0	0	31.66137379	0	311.0800025	0	43.99318314	0	0	0	0	0	0	0	0	0	0	0	0	0	115.8393662	0	155.3974137	314.892159	0	925.9573025	0	0	0	0	0	18.2631747	0
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	0	0	0	0	0	0	28.44805285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.16124979	0	481.9532374	0	0	722.7327477	0	0	0	0	29.13029881	0	0
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	0	0	0	715.6443493	0	0	0	242.2606801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	0	0	92.85217719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647.8430805	0	0	293.2496649	0	0	0	0	0	0	0
TRPSYN-PWY: L-tryptophan biosynthesis	0	0	0	457.3082744	0	0	0	0	491.5542606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.85585996	265.2350495	0	725.9401149	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation	0	132.6389983	0	0	57.06303561	0	280.0371465	0	0	0	913.7202993	0	0	0	0	0	0	0	0	108.06808	0	0	0	0	74.09411841	0	0	254.5823526	0	790.3529914	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0	0	0	0	0	0	0	0	447.3265865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.05770596	0	0	0	0	1158.727013	0	0	0	0	0	0	0
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0	210.8345913	0	263.0878223	58.42956093	0	146.1611908	0	0	0	70.1985069	0	0	0	0	0	0	0	0	0	0	0	0	0	211.7492524	0	225.9992887	429.9318797	0	1033.73391	0	0	0	0	0	24.75246121	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	0	0	543.8018234	0	0	0	0	397.723691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252.5947534	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	0	0	0	401.1485415	56.72991004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.30836454	0	83.92120728	0	0	721.5232949	0	0	0	0	0	0	0
PWY-822: fructan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0	0	0	218.0733064	0	0	58.13708258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253.8582807	0	0	0	0	1925.658358	0	0	0	0	30.55855659	0	0
PWY-7234: inosine-5'-phosphate biosynthesis III	0	0	0	184.5056764	0	0	0	0	49.64399843	29.98782647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4176283	0	366.9905484	0	0	476.377699	0	0	0	0	0	0	0
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0	0	110.8148678	0	64.93689738	0	236.2076428	0	44.88414941	0	84.60774952	0	558.7745174	0	0	0	0	0	0	0	0	0	0	0	0	0	38.06710065	208.0208684	0	1262.734113	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	85.55424546	0	0	0	0	0	0	0	0	0	327.4993471	0	326.6788897	0	258.4545952	0	0	0	0	0	0	0	0	0	0
PWY-6859: all-trans-farnesol biosynthesis	0	0	0	137.8433167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302.0031001	0	0	168.5776562	0	0	0	0	0	0	0
PWY0-1479: tRNA processing	0	328.9389817	0	0	0	0	418.5025123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.6895106	0	57.35251321	922.8541475	0	196.7819451	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0	0	0	0	0	0	0	113.5689525	210.1292959	0	0	0	210.4571619	0	0	0	0	0	0	0	0	0	79.09782214	0	18.7806753	0	374.7938707	0	0	505.7057808	0	0	0	0	0	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	193.0766153	0	26.73323805	0	0	0	0	346.5934734	0	0	0	0	0	0	0	0	0	0	0	0	0	183.5152947	0	81.56664499	0	0	538.6225874	0	1224.854294	0	0	0	0	13.4033498	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0	0	0	0	0	0	29.59810217	0	1563.024962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.18070777	0	0	467.6978934	0	887.0922835	0	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0	226.4960401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.68953375	0	438.3780545	1021.203571	0	485.5067128	0	0	0	0	0	0	0
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	0	0	0	0	0	0	181.7568677	570.6907511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.343346	0	188.2596577	0	0	846.5404898	0	0	0	0	0	206.9333709	0
PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)	0	0	66.98920855	0	0	0	71.7025856	0	0	0	0	0	479.8119244	0	0	0	0	0	0	0	0	0	428.6112659	0	84.21106903	0	672.9520906	0	0	1017.655465	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	225.7826115	0	35.55586141	0	0	0	0	497.0327389	0	0	0	0	0	0	0	0	0	0	0	0	0	307.0328117	0	110.6113257	0	0	577.8232878	0	1128.011938	0	0	0	0	17.45776509	0	0
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	0	0	0	348.8081119	0	0	0	0	0	0	472.9937824	0	0	0	0	0	0	0	0	0	0	0	0	0	84.02530036	0	0	532.7837475	0	418.152786	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0	0	0	0	0	443.4034527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.18266203	0	1399.894127	0	0	1473.466186	0	0	0	0	0	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	0	0	0	139.610375	0	0	205.0023603	225.0711805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.6663367	0	0	0	0	1377.076533	0	0	0	0	0	0	0
GLYCOCAT-PWY: glycogen degradation I	0	0	0	167.494434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.80876849	0	370.0669437	0	0	422.7317556	0	0	0	0	0	0	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0	323.0718813	0	52.83975954	0	0	0	0	540.9019792	0	0	0	0	0	0	0	0	0	0	0	0	0	316.7201251	0	100.0414936	0	0	716.4845389	0	1389.880535	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	287.261271	0	46.37353772	0	0	0	0	541.4753147	0	0	0	0	0	0	0	0	0	0	0	0	0	301.2444905	0	98.97859066	0	0	657.5707523	0	1404.273674	0	0	0	0	16.14370749	0	0
PWY-6629: superpathway of L-tryptophan biosynthesis	0	0	0	690.5214705	0	0	0	0	881.6020649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.0247522	346.9039768	0	825.5601854	0	0	0	0	0	0	0
PWY-7345: superpathway of anaerobic sucrose degradation	0	0	0	427.4841838	0	0	0	0	183.6349138	0	0	0	602.9756987	0	0	0	0	0	0	0	0	0	0	0	224.817923	0	0	0	0	1041.136338	0	0	0	0	0	0	0
PWY-6630: superpathway of L-tyrosine biosynthesis	0	301.0559444	0	719.5102794	0	0	0	0	589.9283743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.09685516	0	42.94101778	0	0	429.55995	0	0	0	0	0	0	0
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0	0	0	533.1791452	0	0	0	0	999.9508284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.9797303	0	0	0	0	0	0	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0	72.39600155	0	243.0052455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418.7493786	0	0	689.1136689	0	0	0	0	0	0	0
PWY-6608: guanosine nucleotides degradation III	0	0	0	76.61126583	0	0	0	0	0	0	0	0	88.67780717	0	0	0	0	0	0	0	0	0	666.9249435	0	160.5859106	0	249.3551071	0	0	1868.705926	0	0	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	0	0	0	1234.451593	0	0	84.99606015	373.4373778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6901: superpathway of glucose and xylose degradation	0	0	0	0	0	0	0	356.6890389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.9943802	0	218.8873343	3109.331889	0	1130.368293	0	0	0	0	0	0	0
"PWY-4041: &gamma;-glutamyl cycle"	0	29.15297632	0	306.5420988	0	0	0	596.5230686	0	0	0	0	0	0	0	0	0	0	0	0	0	10.26463152	0	0	126.5039695	0	441.2789349	0	0	1188.226189	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I	0	0	107.3907547	238.8190378	0	0	0	0	0	0	0	0	596.0047905	0	0	0	0	0	0	0	0	0	0	0	0	0	2505.974041	0	0	0	0	0	0	0	0	0	0
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0	0	0	338.7291049	0	0	0	99.84040497	296.7088968	0	0	0	0	0	0	0	0	0	0	0	0	0	104.3927046	0	46.60968448	0	801.6659173	0	0	709.7384564	0	0	0	287.5549093	0	0	0
PWY-6270: isoprene biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	679.1823838	0	0	0	0	0	0	0	0	0	614.5546209	0	0	0	1734.648185	0	0	366.4161623	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	0	0	100.5967474	62.258901	0	0	0	0	0	0	0	0	705.699407	0	0	0	0	0	0	0	0	0	0	0	0	0	2497.971474	0	0	0	0	0	0	0	0	0	0
PWY3O-4107: NAD salvage pathway V (PNC V cycle)	0	0	0	0	0	0	174.0594224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.1091493	0	0	0	784.9917109	0	0	29.79362461	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	0	0	0	0	0	252.8674896	0	108.715784	0	0	0	307.6600646	0	0	0	0	0	0	0	0	0	794.878577	0	68.60331042	0	0	0	0	48.3876294	0	0	0	0	0	0	0
P441-PWY: superpathway of N-acetylneuraminate degradation	0	0	0	721.8068581	0	0	0	0	211.9366919	0	0	0	608.444914	0	0	0	0	0	0	0	0	0	0	0	109.6416776	0	130.2944842	0	0	658.14094	0	0	0	0	0	0	0
PWY0-1061: superpathway of L-alanine biosynthesis	0	464.0137476	0	1002.77581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.4684679	0	0	767.5697643	0	402.4745211	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0	0	0	0	0	0	0	1490.199829	219.1635122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.74026234	0	0	0	0	992.2553793	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	0	0	56.57135494	213.1593724	0	0	44.64582398	0	0	28.75043767	0	0	0	0	0	0	0	0	0	0	0	0	878.70262	0	73.57752685	0	820.5432289	0	0	998.3090797	0	0	0	452.9877836	0	0	0
PWY-5981: CDP-diacylglycerol biosynthesis III	0	120.0031937	0	371.0179699	0	0	59.6779162	0	325.0428194	0	0	0	0	0	0	0	0	0	0	0	142.6592558	0	134.4559975	0	0	0	306.3865368	174.3323777	0	82.45432796	0	22.92834149	0	0	0	37.5298188	0
PWY-621: sucrose degradation III (sucrose invertase)	0	0	0	185.5610183	0	0	0	0	197.3493775	0	0	0	311.859541	0	0	0	0	0	0	0	0	0	0	0	91.0366441	0	44.58805883	0	0	1392.652749	0	0	0	0	0	0	0
PWY-6628: superpathway of L-phenylalanine biosynthesis	0	503.6590238	0	737.5029335	0	0	0	0	611.7133492	0	86.56801137	0	0	0	0	0	0	0	0	0	0	0	0	0	41.05261547	0	900.9128531	425.7718849	0	652.2312167	0	0	0	0	0	0	0
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	0	0	98.4470357	167.6684057	0	0	87.07080589	0	0	39.76966386	0	0	0	0	0	0	0	0	0	0	0	0	1492.04022	0	18.67496583	0	1296.729567	0	0	484.5100115	0	0	0	0	0	0	0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0	196.7650535	0	352.1808228	0	0	0	0	325.1166622	0	0	0	40.27166546	0	0	0	0	0	0	0	0	0	0	0	54.48567976	0	1292.136429	393.7017094	0	631.9437143	0	0	0	0	0	0	0
PWY-7560: methylerythritol phosphate pathway II	0	0	0	44.02823234	0	0	0	509.7246081	0	0	0	0	621.7333965	0	0	0	0	0	0	0	0	0	550.1146686	0	150.2890498	0	2014.814152	86.08250869	0	939.0997255	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0	206.2628083	27.45510775	222.725857	65.51122257	0	0	264.2590266	136.1170281	0	0	0	174.4402324	0	0	0	23.04242146	0	0	0	0	0	303.5936557	0	99.42892391	0	1473.07476	428.0884162	0	1225.540406	0	0	0	0	0	0	0
PWY-6703: preQ0 biosynthesis	0	34.32820726	0	1026.516886	0	0	61.56588961	29.32947445	138.6282291	20.29772854	0	0	362.4057381	0	0	0	0	0	0	0	0	0	362.3917678	0	0	0	496.2480028	371.2846768	0	494.8042123	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	1963.458998	57.1718614	55.23163775	0	0	0	0	0	0	1251.149764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5352.094008	0	139.6698534	0	0	0	0	0	0	0
PWY-7237: myo-, chiro- and scyllo-inositol degradation	67.38150008	0	38.04240045	0	0	0	0	597.6197824	0	0	0	0	93.68976081	0	0	0	23.88658445	0	0	0	0	0	85.63058061	0	344.9553858	0	512.3048168	0	0	1664.564059	0	0	0	1064.991731	0	617.3783601	0
1CMET2-PWY: folate transformations III (E. coli)	0	80.75545015	0	26.72488298	0	0	0	0	324.2865199	0	0	0	1107.304023	0	0	0	0	0	0	0	0	0	1471.946429	0	77.94625603	0	0	203.57589	0	439.102455	0	0	0	0	0	0	0
COLANSYN-PWY: colanic acid building blocks biosynthesis	0	0	0	0	0	0	0	0	149.6244396	0	0	0	483.367347	0	0	0	0	0	0	0	0	0	547.3345048	0	53.8113679	0	1680.824849	0	0	931.3936009	0	0	0	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0	1074.130827	0	907.0632274	0	0	0	0	135.0866436	0	0	0	552.5667158	0	0	0	0	0	0	464.0510299	0	0	35.024517	0	60.13030524	0	357.3105386	1785.651168	0	714.6333793	0	0	0	162.2467909	0	470.8275809	0
PWY-5367: petroselinate biosynthesis	0	0	0	1131.750248	0	0	0	0	1891.175094	0	0	0	0	0	0	0	0	0	0	0	0	0	181.9841212	0	0	0	0	0	0	174.3440399	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0	186.6813082	39.88837884	202.7684421	99.24098367	0	0	220.3048509	140.2903049	0	0	0	692.3915627	0	0	0	23.68183435	0	0	0	0	0	361.4374057	0	216.1635312	0	1506.376505	443.2238287	0	1370.258259	0	0	0	0	22.88206974	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0	186.6813082	39.88837884	202.7684421	99.24098367	0	0	220.3048509	140.2903049	0	0	0	692.3915627	0	0	0	23.68183435	0	0	0	0	0	361.4374057	0	216.1635312	0	1506.376505	443.2238287	0	1370.258259	0	0	0	0	22.88206974	0	0
PPGPPMET-PWY: ppGpp metabolism	0	577.745727	0	0	0	0	120.6596289	626.4344344	0	24.84236011	0	0	44.03524343	0	0	0	0	0	0	13.08372119	0	0	490.991455	0	24.46855727	0	935.7067922	462.413113	0	205.8642757	0	0	0	0	0	0	0
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0	0	87.98909771	85.95274153	0	0	0	0	269.682677	0	0	0	1081.119858	0	0	0	0	0	0	0	0	0	274.7865368	0	0	0	440.2048593	0	0	0	0	0	0	0	0	143.9849907	0
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	0	0	86.54743677	48.46380078	0	0	276.136196	0	630.4372509	95.59755449	234.7915018	0	1802.03083	0	0	0	0	0	0	0	0	0	2648.891804	0	0	0	1332.703227	483.5875102	0	375.496411	0	0	0	0	0	0	0
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	0	0	413.9332631	0	0	0	0	837.9773585	0	0	0	0	0	0	0	0	0	0	0	0	0	923.1185286	0	0	0	0	0	0	407.2998089	0	0	0	0	0	0	0
